#ID, X, Y, Yerr, Xerr
680,55.6392971033,-21.249246,0.310429,2.06299052745
684,334.355371137,-22.494196,0.447884,2.91278448817
708,120.057009332,-21.931694,0.314528,1.54175010849
714,199.302524352,-21.869064,0.939361,8.99539955821
715,-184.34357036,-20.163165,0.373038,5.18936386542
740,209.945454332,-22.791562,0.099925,1.79359568952
744,53.2667064566,-21.697226,0.145015,0.567159163258
748,158.337198367,-20.905945,0.123067,0.343124007054
749,193.937624298,-20.38769,0.01,3.8037646737
754,150.875650283,-20.932356,0.162082,6.06833955276
758,159.291412436,-19.418335,0.151476,1.76551351008
764,275.763980575,-22.278066,0.02,4.6611707911
769,129.314580885,-20.911427,0.064919,5.16925847818
774,268.566709371,-22.576954,0.03,3.81752708099
775,145.462846724,-20.95286,0.03,3.77436913701
778,-185.935665829,-22.566059,0.05003,5.10432229223
780,230.583238839,-23.00262,0.421334,3.47801484347
783,125.474027173,-19.924725,0.045828,3.86579013201
789,297.881123742,-22.714892,0.058958,12.1623329702
791,257.479797365,-22.106699,0.013658,6.24601078674
795,351.849409621,-21.306532,0.11,13.0041109926
796,263.804875329,-21.711849,0.146334,3.28777950772
797,176.322294704,-20.39981,0.06868,3.97981256239
798,129.608136292,-20.650203,0.038273,2.62428351968
802,175.715431196,-21.843563,0.07416,2.85577794768
804,156.363377268,-20.764956,0.155766,2.79728671203
806,122.022883954,-22.788986,0.46422,1.01759693613
807,217.753304381,-21.895057,0.033984,5.18249458419
809,-240.779660798,-22.105303,0.138077,5.44240008666
810,199.650935555,-21.710712,0.01,2.73322511936
813,-272.348058333,-21.775117,0.23207,3.44188881821
814,232.95222528,-22.743017,0.024255,2.13827165621
815,88.0816980051,-22.042078,0.101596,0.546327377589
816,186.619133786,-21.773873,0.07659,2.55475012013
818,184.237560711,-20.502642,0.01,4.1423283696
821,192.95761004,-22.017189,0.18059,6.21734908446
822,293.869471346,-22.205701,0.093473,3.2570368989
823,140.152784216,-20.43137,0.041501,3.34891487274
824,200.059711876,-21.564861,0.806194,5.08304521766
825,151.239576119,-20.413218,0.06,4.329800513
826,197.026813139,-21.829701,0.065004,1.97569937984
827,101.043417913,-18.994243,0.57417,3.31337311793
828,81.7136043571,-20.481735,0.04,2.98878821487
829,94.523258149,-22.879477,0.03,0.666206504371
831,171.721956517,-20.863929,0.045321,2.97952055763
832,259.002064451,-23.569375,0.131527,0.38495625746
833,110.740659885,-22.201969,0.03,0.823228070448
835,297.094908692,-22.661401,0.13226,2.98843148456
836,172.836522346,-20.727477,0.02,3.51919314737
837,173.159958365,-20.567123,0.038413,4.71406342314
838,210.255423935,-20.973309,0.07,4.43237273051
839,380.210466207,-24.036018,0.250196,15.6698193385
840,103.208396345,-24.110596,0.134729,0.567223061819
841,125.968689375,-19.84697,0.058117,1.77873338653
842,117.152870893,-21.101106,0.113994,0.610217073585
843,127.800114309,-19.144899,0.192343,3.8565877716
845,148.035511895,-23.390579,0.050772,1.14834320831
846,91.890963175,-22.842608,0.10515,1.16162913382
847,204.71087761,-22.015803,0.064995,5.31637733594
848,236.639673542,-20.914259,0.033084,0.377372024565
849,237.542254494,-22.701402,0.085105,8.03011398411
850,120.063683839,-22.283706,0.03,1.38503331027
851,109.386355864,-23.51513,0.108967,2.02238465633
852,96.8109161145,-19.614223,0.302913,1.61244250362
854,248.105786203,-21.833461,0.028562,5.56817329907
856,170.89497206,-21.11061,0.24,3.52136699297
857,247.554483979,-21.78692,0.034758,8.95862413265
858,261.688154187,-22.893454,0.309826,4.36715725734
859,82.5405820857,-22.582214,0.098935,0.577688722781
860,152.041457739,-21.187481,0.174244,0.260817192384
861,228.735187261,-21.080931,0.05,6.90658409489
862,234.305703155,-22.463172,0.143065,0.227131983081
863,256.774612984,-21.939979,0.04,7.74180464688
864,148.147817345,-22.721668,0.08,0.42550736536
865,291.888721446,-21.928403,0.12,1.79775764617
866,182.301984789,-20.233922,0.03,6.63523414561
867,158.488118914,-20.382542,0.05,4.88457304003
868,219.854105623,-21.426492,0.058888,8.17870191441
869,293.310349083,-22.235725,0.05,3.36303448311
870,228.109356113,-21.76259,0.533081,0.627396949034
871,239.803773074,-21.955279,0.055782,5.24853217606
872,235.70449346,-21.033478,0.136005,2.94465413769
874,214.449687218,-22.649724,0.22,7.04287646642
876,231.30687131,-21.632457,0.06,6.44832281477
880,286.7935568,-19.962259,0.8,3.347737819
881,340.92826101,-23.002383,0.062467,0.906274937402
884,208.717865908,-19.519796,0.06,11.049138218
885,72.6249699341,-18.152536,0.03,1.8583180332
886,242.898249386,-22.112653,0.01,2.5925499796
887,279.725027101,-22.375842,0.04,9.12934672259
888,126.897752231,-23.419717,0.18422,0.852949579926
889,248.727733646,-21.861791,0.02,9.26045964285
890,260.599107415,-21.419631,0.071032,5.00228734755
891,170.969914702,-20.596233,0.02,3.19414817963
